"","Country","date","in_lockdown"
"200","Austria",2005-07-19,0
"201","Austria",2005-07-20,0
"202","Austria",2005-07-21,0
"203","Austria",2005-07-22,0
"204","Austria",2005-07-23,0
"205","Austria",2005-07-24,0
"206","Austria",2005-07-25,0
"207","Austria",2005-07-26,0
"208","Austria",2005-07-27,0
"209","Austria",2005-07-28,0
"210","Austria",2005-07-29,0
"211","Austria",2005-07-30,0
"212","Austria",2005-07-31,0
"213","Austria",2005-08-01,0
"214","Austria",2005-08-02,0
"215","Austria",2005-08-03,0
"216","Austria",2005-08-04,0
"217","Austria",2005-08-05,0
"218","Austria",2005-08-06,0
"219","Austria",2005-08-07,0
"220","Austria",2005-08-08,0
"221","Austria",2005-08-09,0
"222","Austria",2005-08-10,0
"223","Austria",2005-08-11,0
"224","Austria",2005-08-12,0
"225","Austria",2005-08-13,0
"226","Austria",2005-08-14,0
"227","Austria",2005-08-15,0
"228","Austria",2005-08-16,0
"229","Austria",2005-08-17,0
"230","Austria",2005-08-18,0
"231","Austria",2005-08-19,0
"232","Austria",2005-08-20,0
"233","Austria",2005-08-21,0
"234","Austria",2005-08-22,0
"235","Austria",2005-08-23,0
"236","Austria",2005-08-24,0
"237","Austria",2005-08-25,0
"238","Austria",2005-08-26,0
"239","Austria",2005-08-27,0
"240","Austria",2005-08-28,0
"241","Austria",2005-08-29,0
"242","Austria",2005-08-30,0
"243","Austria",2005-08-31,0
"244","Austria",2005-09-01,0
"245","Austria",2005-09-02,0
"246","Austria",2005-09-03,0
"247","Austria",2005-09-04,0
"248","Austria",2005-09-05,0
"249","Austria",2005-09-06,0
"250","Austria",2005-09-07,0
"251","Austria",2005-09-08,0
"252","Austria",2005-09-09,0
"253","Austria",2005-09-10,0
"254","Austria",2005-09-11,0
"255","Austria",2005-09-12,0
"256","Austria",2005-09-13,0
"257","Austria",2005-09-14,0
"258","Austria",2005-09-15,0
"259","Austria",2005-09-16,0
"260","Austria",2005-09-17,0
"261","Austria",2005-09-18,0
"262","Austria",2005-09-19,0
"263","Austria",2005-09-20,0
"264","Austria",2005-09-21,0
"265","Austria",2005-09-22,0
"266","Austria",2005-09-23,0
"267","Austria",2005-09-24,0
"268","Austria",2005-09-25,0
"269","Austria",2005-09-26,0
"270","Austria",2005-09-27,0
"271","Austria",2005-09-28,0
"272","Austria",2005-09-29,0
"273","Austria",2005-09-30,0
"274","Austria",2005-10-01,0
"275","Austria",2005-10-02,0
"276","Austria",2005-10-03,0
"277","Austria",2005-10-04,0
"278","Austria",2005-10-05,0
"279","Austria",2005-10-06,0
"280","Austria",2005-10-07,0
"281","Austria",2005-10-08,0
"282","Austria",2005-10-09,0
"283","Austria",2005-10-10,0
"284","Austria",2005-10-11,0
"285","Austria",2005-10-12,0
"286","Austria",2005-10-13,0
"287","Austria",2005-10-14,0
"288","Austria",2005-10-15,0
"289","Austria",2005-10-16,0
"290","Austria",2005-10-17,0
"291","Austria",2005-10-18,0
"292","Austria",2005-10-19,0
"293","Austria",2005-10-20,0
"294","Austria",2005-10-21,0
"295","Austria",2005-10-22,0
"296","Austria",2005-10-23,0
"297","Austria",2005-10-24,0
"298","Austria",2005-10-25,0
"299","Austria",2005-10-26,0
"300","Austria",2005-10-27,0
"301","Austria",2005-10-28,0
"302","Austria",2005-10-29,0
"303","Austria",2005-10-30,0
"304","Austria",2005-10-31,0
"305","Austria",2005-11-01,0
"306","Austria",2005-11-02,0
"307","Austria",2005-11-03,0
"308","Austria",2005-11-04,0
"309","Austria",2005-11-05,0
"310","Austria",2005-11-06,0
